Step,Description,Order Number,Image URL,Duration
Dim Lights,"Lower room lights for a calm atmosphere",1,https://images.unsplash.com/photo-1528731708534-816fe59f5c99,5
Change Clothes,"Put on comfortable pajamas",2,https://images.unsplash.com/photo-1583224964978-4b9040a3653b,5
Read Book,"Read a chapter of a relaxing book",3,https://images.unsplash.com/photo-1498837167922-ddd27525d352,5
Stretch Body,"Perform a 5-minute stretching routine",4,https://images.unsplash.com/photo-1611078489935-0cb4c2497a07,5
Set Alarm,"Program tomorrow’s wake-up time",5,https://images.unsplash.com/photo-1565711721653-d5b9233af955,5
Prepare Bed,"Fluff pillows and straighten sheets",6,https://images.unsplash.com/photo-1545018596-2e8400b57c92,5
Hydrate,"Drink a glass of water",7,https://images.unsplash.com/photo-1600585154340-be6161a56a0c,5
Turn Off Devices,"Power down phone and computer",8,https://images.unsplash.com/photo-1626700051175-6818013e1d4f,5
Meditate,"Spend 5 minutes in quiet meditation",9,https://images.unsplash.com/photo-1598033129183-c4f48c6f0b6a,5
Plan Tomorrow,"Write a quick to-do list",10,https://images.unsplash.com/photo-1550828553-7dc2a66e4166,5
Relax Mind,"Listen to soft music or nature sounds",11,https://images.unsplash.com/photo-1603798129864-1e6b4c6064fe,5
Sleep Time,"Get into bed and rest",12,https://images.unsplash.com/photo-1588196749597-9ff075ee6b5b,5
